Index,Address,Currency,TotalRewards,TimeStart,TimeEnd,TimeAggregation,StartingBalance,ProtocolRewards,TxFeeRewards,MevRewards
458455,0x8295d436d0eb2bf3739f38eaa1577f9061662825c51cc09bf576b71ba4975b9a4a66ea37205ecb930f83327238518757,ETH,0.065257,2023-06-22T00:00:00Z,2023-06-22T23:59:59Z,daily,32.010911,0.065257,0.000000,0.000000
458455,0x8295d436d0eb2bf3739f38eaa1577f9061662825c51cc09bf576b71ba4975b9a4a66ea37205ecb930f83327238518757,ETH,0.076033,2023-06-23T00:00:00Z,2023-06-23T23:59:59Z,daily,32.076168,0.076033,0.000000,0.000000
458455,0x8295d436d0eb2bf3739f38eaa1577f9061662825c51cc09bf576b71ba4975b9a4a66ea37205ecb930f83327238518757,ETH,0.002696,2023-06-24T00:00:00Z,2023-06-24T23:59:59Z,daily,32.060590,0.002696,0.000000,0.000000
458455,0x8295d436d0eb2bf3739f38eaa1577f9061662825c51cc09bf576b71ba4975b9a4a66ea37205ecb930f83327238518757,ETH,0.002679,2023-06-25T00:00:00Z,2023-06-25T23:59:59Z,daily,32.063286,0.002679,0.000000,0.000000
458455,0x8295d436d0eb2bf3739f38eaa1577f9061662825c51cc09bf576b71ba4975b9a4a66ea37205ecb930f83327238518757,ETH,0.002679,2023-06-26T00:00:00Z,2023-06-26T23:59:59Z,daily,32.065964,0.002679,0.000000,0.000000
458455,0x8295d436d0eb2bf3739f38eaa1577f9061662825c51cc09bf576b71ba4975b9a4a66ea37205ecb930f83327238518757,ETH,0.002654,2023-06-27T00:00:00Z,2023-06-27T23:59:59Z,daily,32.068644,0.002654,0.000000,0.000000
458455,0x8295d436d0eb2bf3739f38eaa1577f9061662825c51cc09bf576b71ba4975b9a4a66ea37205ecb930f83327238518757,ETH,0.002678,2023-06-28T00:00:00Z,2023-06-28T23:59:59Z,daily,32.071298,0.002678,0.000000,0.000000
458455,0x8295d436d0eb2bf3739f38eaa1577f9061662825c51cc09bf576b71ba4975b9a4a66ea37205ecb930f83327238518757,ETH,0.002678,2023-06-29T00:00:00Z,2023-06-29T23:59:59Z,daily,32.001684,0.002678,0.000000,0.000000
458455,0x8295d436d0eb2bf3739f38eaa1577f9061662825c51cc09bf576b71ba4975b9a4a66ea37205ecb930f83327238518757,ETH,0.002673,2023-06-30T00:00:00Z,2023-06-30T23:59:59Z,daily,32.004362,0.002673,0.000000,0.000000
458466,0x84764d5c1dbd4e7f89394b96875e5cad4faa2ccf4843039ca71ce5d66111092cf7c5ad890c7fc03a987d0a22ef56d335,ETH,0.002767,2023-06-01T00:00:00Z,2023-06-01T23:59:59Z,daily,32.008212,0.002767,0.000000,0.000000
458466,0x84764d5c1dbd4e7f89394b96875e5cad4faa2ccf4843039ca71ce5d66111092cf7c5ad890c7fc03a987d0a22ef56d335,ETH,0.002698,2023-06-02T00:00:00Z,2023-06-02T23:59:59Z,daily,32.010978,0.002698,0.000000,0.000000
458466,0x84764d5c1dbd4e7f89394b96875e5cad4faa2ccf4843039ca71ce5d66111092cf7c5ad890c7fc03a987d0a22ef56d335,ETH,0.002742,2023-06-03T00:00:00Z,2023-06-03T23:59:59Z,daily,32.000457,0.002742,0.000000,0.000000
458466,0x84764d5c1dbd4e7f89394b96875e5cad4faa2ccf4843039ca71ce5d66111092cf7c5ad890c7fc03a987d0a22ef56d335,ETH,0.002738,2023-06-04T00:00:00Z,2023-06-04T23:59:59Z,daily,32.003199,0.002738,0.000000,0.000000
458466,0x84764d5c1dbd4e7f89394b96875e5cad4faa2ccf4843039ca71ce5d66111092cf7c5ad890c7fc03a987d0a22ef56d335,ETH,0.002663,2023-06-05T00:00:00Z,2023-06-05T23:59:59Z,daily,32.005937,0.002663,0.000000,0.000000
458466,0x84764d5c1dbd4e7f89394b96875e5cad4faa2ccf4843039ca71ce5d66111092cf7c5ad890c7fc03a987d0a22ef56d335,ETH,0.002716,2023-06-06T00:00:00Z,2023-06-06T23:59:59Z,daily,32.008600,0.002716,0.000000,0.000000
